债券简称,债券代码,发行人/受托机构,债券类型,发行日期,最新债项评级
23附息国债23,230023,财政部(原:中华人民共和国财政部),国债,2023-10-13,---
23附息国债22,230022,财政部(原:中华人民共和国财政部),国债,2023-10-13,---
23贴现国债60,239960,财政部(原:中华人民共和国财政部),国债,2023-09-22,---
23附息国债21,230021,财政部(原:中华人民共和国财政部),国债,2023-09-22,---
23附息国债20,230020,财政部(原:中华人民共和国财政部),国债,2023-09-22,---
23贴现国债59,239959,财政部(原:中华人民共和国财政部),国债,2023-09-22,---
23贴现国债58,239958,财政部(原:中华人民共和国财政部),国债,2023-09-15,---
23附息国债19,230019,财政部(原:中华人民共和国财政部),国债,2023-09-14,---
23贴现国债57,239957,财政部(原:中华人民共和国财政部),国债,2023-09-08,---
23贴现国债56,239956,财政部(原:中华人民共和国财政部),国债,2023-09-06,---
23贴现国债55,239955,财政部(原:中华人民共和国财政部),国债,2023-09-06,---
23贴现国债54,239954,财政部(原:中华人民共和国财政部),国债,2023-09-01,---
23贴现国债53,239953,财政部(原:中华人民共和国财政部),国债,2023-09-01,---
23贴现国债52,239952,财政部(原:中华人民共和国财政部),国债,2023-08-25,---
23贴现国债51,239951,财政部(原:中华人民共和国财政部),国债,2023-08-25,---
23附息国债18,230018,财政部(原:中华人民共和国财政部),国债,2023-08-24,---
23贴现国债50,239950,财政部(原:中华人民共和国财政部),国债,2023-08-18,---
23附息国债17,230017,财政部(原:中华人民共和国财政部),国债,2023-08-14,---
23贴现国债49,239949,财政部(原:中华人民共和国财政部),国债,2023-08-11,---
23贴现国债47,239947,财政部(原:中华人民共和国财政部),国债,2023-08-09,---
23贴现国债48,239948,财政部(原:中华人民共和国财政部),国债,2023-08-09,---
23贴现国债46,239946,财政部(原:中华人民共和国财政部),国债,2023-08-04,---
23贴现国债45,239945,财政部(原:中华人民共和国财政部),国债,2023-08-04,---
23贴现国债44,239944,财政部(原:中华人民共和国财政部),国债,2023-07-28,---
23附息国债16,230016,财政部(原:中华人民共和国财政部),国债,2023-07-24,---
23贴现国债43,239943,财政部(原:中华人民共和国财政部),国债,2023-07-21,---
23贴现国债42,239942,财政部(原:中华人民共和国财政部),国债,2023-07-14,---
23附息国债15,230015,财政部(原:中华人民共和国财政部),国债,2023-07-14,---
23贴现国债41,239941,财政部(原:中华人民共和国财政部),国债,2023-07-14,---
23贴现国债40,239940,财政部(原:中华人民共和国财政部),国债,2023-07-07,---
23贴现国债39,239939,财政部(原:中华人民共和国财政部),国债,2023-07-05,---
23贴现国债38,239938,财政部(原:中华人民共和国财政部),国债,2023-07-05,---
23附息国债14,230014,财政部(原:中华人民共和国财政部),国债,2023-06-21,---
23贴现国债37,239937,财政部(原:中华人民共和国财政部),国债,2023-06-16,---
23附息国债13,230013,财政部(原:中华人民共和国财政部),国债,2023-06-14,---
23贴现国债36,239936,财政部(原:中华人民共和国财政部),国债,2023-06-09,---
23贴现国债35,239935,财政部(原:中华人民共和国财政部),国债,2023-06-09,---
23贴现国债34,239934,财政部(原:中华人民共和国财政部),国债,2023-06-07,---
23贴现国债33,239933,财政部(原:中华人民共和国财政部),国债,2023-06-07,---
23贴现国债32,239932,财政部(原:中华人民共和国财政部),国债,2023-06-02,---
23贴现国债31,239931,财政部(原:中华人民共和国财政部),国债,2023-05-26,---
23附息国债12,230012,财政部(原:中华人民共和国财政部),国债,2023-05-24,---
23贴现国债30,239930,财政部(原:中华人民共和国财政部),国债,2023-05-19,---
23贴现国债29,239929,财政部(原:中华人民共和国财政部),国债,2023-05-12,---
23附息国债11,230011,财政部(原:中华人民共和国财政部),国债,2023-05-12,---
23贴现国债28,239928,财政部(原:中华人民共和国财政部),国债,2023-05-10,---
23贴现国债27,239927,财政部(原:中华人民共和国财政部),国债,2023-05-10,---
23贴现国债26,239926,财政部(原:中华人民共和国财政部),国债,2023-05-05,---
23贴现国债25,239925,财政部(原:中华人民共和国财政部),国债,2023-05-05,---
23附息国债10,230010,财政部(原:中华人民共和国财政部),国债,2023-04-24,---
23贴现国债24,239924,财政部(原:中华人民共和国财政部),国债,2023-04-21,---
23贴现国债23,239923,财政部(原:中华人民共和国财政部),国债,2023-04-21,---
23贴现国债22,239922,财政部(原:中华人民共和国财政部),国债,2023-04-14,---
23附息国债09,230009,财政部(原:中华人民共和国财政部),国债,2023-04-14,---
23附息国债08,230008,财政部(原:中华人民共和国财政部),国债,2023-04-14,---
23贴现国债20,239920,财政部(原:中华人民共和国财政部),国债,2023-04-12,---
23贴现国债21,239921,财政部(原:中华人民共和国财政部),国债,2023-04-12,---
23贴现国债19,239919,财政部(原:中华人民共和国财政部),国债,2023-04-07,---
23贴现国债18,239918,财政部(原:中华人民共和国财政部),国债,2023-03-24,---
23附息国债07,230007,财政部(原:中华人民共和国财政部),国债,2023-03-24,---
23附息国债06,230006,财政部(原:中华人民共和国财政部),国债,2023-03-24,---
23贴现国债17,239917,财政部(原:中华人民共和国财政部),国债,2023-03-17,---
23附息国债05,230005,财政部(原:中华人民共和国财政部),国债,2023-03-14,---
23贴现国债16,239916,财政部(原:中华人民共和国财政部),国债,2023-03-10,---
23贴现国债15,239915,财政部(原:中华人民共和国财政部),国债,2023-03-08,---
23贴现国债14,239914,财政部(原:中华人民共和国财政部),国债,2023-03-08,---
23贴现国债13,239913,财政部(原:中华人民共和国财政部),国债,2023-03-03,---
23贴现国债12,239912,财政部(原:中华人民共和国财政部),国债,2023-03-03,---
23贴现国债11,239911,财政部(原:中华人民共和国财政部),国债,2023-02-24,---
23附息国债04,230004,财政部(原:中华人民共和国财政部),国债,2023-02-24,---
23贴现国债10,239910,财政部(原:中华人民共和国财政部),国债,2023-02-17,---
23附息国债03,230003,财政部(原:中华人民共和国财政部),国债,2023-02-14,---
23贴现国债09,239909,财政部(原:中华人民共和国财政部),国债,2023-02-10,---
23贴现国债07,239907,财政部(原:中华人民共和国财政部),国债,2023-02-08,---
23贴现国债08,239908,财政部(原:中华人民共和国财政部),国债,2023-02-08,---
23贴现国债06,239906,财政部(原:中华人民共和国财政部),国债,2023-02-03,---
23贴现国债05,239905,财政部(原:中华人民共和国财政部),国债,2023-02-03,---
23贴现国债04,239904,财政部(原:中华人民共和国财政部),国债,2023-01-13,---
23附息国债02,230002,财政部(原:中华人民共和国财政部),国债,2023-01-13,---
23贴现国债03,239903,财政部(原:中华人民共和国财政部),国债,2023-01-13,---
23附息国债01,230001,财政部(原:中华人民共和国财政部),国债,2023-01-13,---
23贴现国债02,239902,财政部(原:中华人民共和国财政部),国债,2023-01-11,---
23贴现国债01,239901,财政部(原:中华人民共和国财政部),国债,2023-01-11,---
